id,date,amount
109,10/11,-6505.30
110,03/30,-9736.59
111,04/05,+977.23
112,06/30,-6726.43
113,05/08,-4047.03
114,05/16,-650.05
115,11/03,+7990.65
116,10/07,-8733.37
117,11/06,+2781.38
118,11/04,+7219.78
119,06/10,-4351.66
120,10/02,-1103.89
121,09/17,+9086.74
122,06/12,-8282.59
123,06/24,+2707.14
124,09/21,+8303.97
125,11/24,-715.09
126,06/04,-3392.76
127,06/08,-1799.38
128,10/14,-7040.20
129,04/19,+926.96
130,06/02,+204.80
131,01/28,-9607.16
132,03/27,+5895.82
133,10/04,+9781.99
134,08/02,+5286.67
135,07/15,+6362.28
136,06/30,-5327.13
137,05/08,-2848.94
138,11/13,-643.07
139,05/27,-6922.58
140,09/07,+3005.12
141,05/17,+8580.94
142,12/07,-2421.37
143,12/12,-6337.77
144,04/05,+4727.24
145,01/01,+6155.49
146,09/13,-7365.44
147,08/05,+1099.30
148,01/22,-5571.83
149,03/24,-6983.69
150,03/31,-1454.60
151,06/11,+1143.62
152,11/07,-294.89
153,06/13,-7326.48
154,03/15,-85.27
155,05/14,+5296.13
156,11/07,-9508.81
157,12/28,+130.20
158,06/24,+3685.62
159,11/21,-6523.42
160,02/11,+1453.24
161,04/05,+3694.50
162,04/30,+2982.76
163,10/14,+7721.37
164,04/06,-1116.42
165,05/24,-8951.16
166,05/24,+9995.38
167,08/10,-6454.47
168,08/11,+2794.72
169,10/07,-1824.77
170,06/27,-1831.70
171,04/04,-304.07
172,12/15,-5739.26
173,11/09,+2386.03
174,08/24,+9716.34
175,04/08,-2779.31
176,03/23,-9176.95
177,02/26,+2815.16
178,09/06,+4155.90
179,12/06,+6241.21
180,06/20,+356.28
181,07/07,+8000.62
182,05/07,-2977.79
183,05/01,+4454.94
184,04/17,+2902.21
185,11/18,+6786.01
186,01/10,+1420.10
187,08/11,-2316.51
188,01/28,-6155.62
189,05/02,+4949.47
190,09/13,-9194.71
191,07/18,-5180.71
192,04/15,+7237.73
193,11/22,+8130.26
194,12/22,-9566.50
195,08/08,-418.46
196,07/27,-9134.00
197,12/26,-4018.52
198,03/13,+9043.72
199,01/04,-3680.65
200,07/17,+8915.11
201,04/02,-5264.71
202,09/16,-9969.66
203,07/07,-1950.56
204,08/18,-7725.73
205,10/28,+8178.90
206,06/29,+981.64
207,09/27,-9859.89
208,06/13,+1037.56
209,11/14,-1540.50
210,09/26,-7588.30
211,07/31,+5168.16
212,12/26,-1314.09
213,11/11,-9702.13
214,02/03,+8053.17
215,04/10,+2657.62
216,05/11,-1519.14
217,02/12,+8680.96
218,01/27,-3109.37
219,04/15,-7308.15
220,05/25,-5471.14
221,11/06,+155.36
222,01/19,+6790.61
223,10/21,-1411.00
224,04/19,+9313.22
225,08/11,-4665.87
226,10/05,-218.21
227,01/27,+8854.80
228,07/14,-6323.66
229,09/26,+1512.57
230,01/07,+9202.33
231,07/02,-6579.02
232,10/24,+685.52
233,01/12,-7336.45
234,04/24,-5457.15
235,09/27,+1915.18
236,01/29,+2559.57
237,01/02,+9569.04
238,02/23,+3223.30
239,02/27,-5136.80
240,02/22,+2183.84
241,03/30,-1289.13
242,09/22,-5304.61
243,08/12,-7434.26
244,06/16,+4817.54
245,03/17,-2391.80
246,08/01,-2844.11
247,03/24,+7036.48
248,09/25,-399.56
249,08/15,-8217.99
250,08/02,-7915.35
251,09/03,+5929.58
252,09/15,+5313.35
253,11/07,-7873.10
254,11/19,+9583.13
255,03/11,-9575.40
256,04/24,-3531.51
257,07/02,-3971.69
258,03/04,+3672.30
259,01/06,-2335.17
260,05/30,+5154.80
261,09/03,+1073.37
262,09/05,-516.54
263,01/14,-8808.25
264,03/28,+3412.22
265,10/13,+7872.34
266,12/12,-4995.73
267,03/24,-8500.95
268,09/10,-8298.53
269,01/16,+8480.61
270,09/21,-9921.72
271,11/05,+1478.30
272,11/21,+5572.75
273,03/02,-4837.22
274,08/27,-1817.88
275,05/25,+2689.06
276,09/23,-9769.57
277,02/11,-9291.03
278,07/06,+1658.54
279,07/16,+8611.16
280,02/01,+1693.77
281,06/11,+3623.95
282,06/02,+5460.26
283,09/28,-6048.47
284,07/19,+3022.80
285,03/13,+9427.93
286,02/18,+167.28
287,04/03,-3467.14
288,07/26,-1305.89
289,11/08,-6321.61
290,10/31,-9132.57
291,06/23,+2031.69
292,11/20,+9181.33
293,11/30,+2862.12
294,04/24,-6451.41
295,11/08,-5164.36
296,09/20,+9040.19
297,03/21,-8821.05
298,11/23,-507.82
299,09/05,-6917.35
300,07/14,-1446.66
301,02/13,+9323.20
302,07/31,+4159.53
303,09/30,+4523.76
304,03/29,+2918.69
305,02/05,+8849.15
306,12/27,+2137.77
307,06/21,+6239.69
308,04/22,+5521.56
309,12/16,+8324.00
310,09/22,-7882.39
311,06/21,+732.42
312,07/04,-5688.53
313,04/21,+2743.23
314,10/22,-643.35
315,05/16,+5744.36
316,07/20,+1029.86
317,07/26,-2517.41
318,09/20,+1235.99
319,06/11,-9735.92
320,04/05,+8833.93
321,10/16,+7449.37
322,04/10,-6767.56
323,05/17,-8315.28
324,04/12,+5584.97
325,10/27,+6690.41
326,06/16,-1765.32
327,04/14,-2982.08
328,04/26,+3656.68
329,08/13,+7941.21
330,02/01,+3352.98
331,12/05,+7998.12
332,04/14,-9764.30
333,01/30,-33.03
334,04/08,+7543.03
335,07/03,+4823.33
336,04/11,-1215.93
337,09/25,-7875.96
338,09/12,+943.67
339,08/22,-8996.77
340,02/25,+7207.68
341,10/14,+5981.44
342,05/21,+8810.55
343,11/17,-5028.32
344,07/13,-5182.49
345,06/11,-6837.79
346,08/12,+7064.60
347,08/12,-8883.30
348,06/10,-794.19
349,10/07,+6577.94
350,01/08,+4199.03
351,06/04,-1764.28
352,03/18,+7187.23
353,05/08,-1149.64
354,12/27,+6298.84
355,06/08,-8382.17
356,09/05,-8639.26
357,09/27,-9012.80
358,04/06,+9619.18
359,05/12,-131.30
360,07/25,-5126.43
361,03/29,+1869.52
362,12/17,+3984.93
363,08/21,+4351.28
364,12/23,-4157.87
365,05/16,+3030.18
366,03/03,-2137.74
367,12/14,-8323.77
368,08/18,-7698.91
369,06/11,-4189.26
370,01/24,+3404.31
371,01/12,+2510.23
372,03/06,-1781.52
373,10/10,+8781.86
374,02/16,+6963.51
375,04/23,+1183.34
376,01/03,-5430.69
377,01/16,+751.03
378,07/22,-3394.75
379,08/16,-2813.76
380,10/11,-7730.70
381,12/14,-2128.49
382,09/17,-4888.84
383,05/29,+7796.71
384,08/21,+5156.36
385,05/02,+9012.97
386,08/22,+1048.74
387,05/04,-1117.21
388,12/14,-8566.20
389,12/07,+5520.30
390,08/31,+1633.63
391,03/19,+1296.26
392,07/14,+2334.48
393,08/31,+1317.22
394,05/30,-5351.85
395,06/19,-7417.74
396,10/22,+7163.16
397,09/02,-3609.04
398,06/10,-8530.50
399,11/13,+4171.13
400,07/09,-5120.36
401,03/28,+3992.29
402,04/04,-9533.67
403,11/30,-5759.25
404,11/06,+7501.08
405,12/09,-2590.01
406,11/07,-4990.10
407,03/27,+7271.14
408,02/19,+8690.22
409,08/30,-9778.32
410,09/21,-7778.58
411,01/07,-1890.00
412,05/25,-349.70
413,12/01,-1002.40
414,09/07,+1679.49
415,06/28,+771.73
416,01/15,-5082.32
417,07/23,+5493.76
418,03/22,-5335.96
419,08/20,-1702.08
420,08/31,-1451.99
421,12/14,-3455.72
422,11/29,+2762.81
423,10/05,+5659.12
424,05/03,-3980.38
425,12/18,+3108.92
426,06/29,-8846.77
427,04/23,-1063.11
428,12/06,+354.25
429,02/25,-5692.09
430,09/04,+6755.09
431,12/23,+9800.88
432,07/02,-5794.39
433,08/26,-1694.24
434,05/11,-3434.87
435,05/04,+321.80
436,09/07,-4897.29
437,03/06,+8203.94
438,07/08,-9681.37
439,03/31,-5945.09
440,05/16,-4708.08
441,09/22,+555.37
442,07/27,-7286.10
443,04/21,-219.45
444,03/18,+4126.68
445,08/19,+1218.79
446,04/16,+1756.49
447,03/23,-5902.96
448,06/24,+5720.75
449,09/04,+4483.72
450,07/25,-3562.33
451,04/02,+9873.82
452,01/01,-5884.90
453,08/11,+9303.06
454,08/03,+5829.27
455,12/31,-492.57
456,04/24,-3950.44
457,10/12,-5065.39
458,07/02,-380.79
459,09/23,-6293.32
460,06/11,+3474.63
461,02/24,-2181.82
462,08/25,-4683.65
463,06/01,-9499.92
464,12/16,-1245.10
465,10/08,-5982.02
466,12/22,-3732.72
467,01/30,-8602.13
468,02/09,-1951.53
469,06/12,+1205.87
470,12/15,-3152.09
471,05/31,+9118.58
472,04/24,+7206.12
473,01/26,+1953.73
474,11/14,+2893.40
475,02/09,-2636.80
476,02/07,+3233.15
477,01/17,-9840.86
478,11/19,-3876.33
479,03/16,-3481.38
480,07/23,-6847.66
481,04/23,-8089.91
482,08/14,+7305.40
483,12/28,-9964.02
484,02/19,+8137.01
485,06/27,-7313.19
486,05/05,-6199.88
487,11/29,+986.18
488,01/27,+7737.12
489,03/11,-2569.55
490,05/06,+3118.95
491,11/09,-7919.76
492,05/03,+8232.68
493,10/01,-5151.01
494,10/18,+8357.35
495,08/09,+156.56
496,08/19,-4107.65
497,11/01,-7613.72
498,08/21,-4952.91
499,06/17,-1176.64
